Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000187961.13	KLHL17	chr1	+	960587	965715	1.585598	0.713341	1.609927
ENSG00000187583.10	PLEKHN1	chr1	+	966497	975865	4.499905	2.062147	4.654021
ENSG00000187642.9	PERM1	chr1	-	975204	982093	0.603829	0.250402	0.565127
ENSG00000188290.10	HES4	chr1	-	998962	1000172	7.450962	3.465405	7.821010
ENSG00000187634.11	SAMD11	chr1	+	923928	944581	6.322133	5.025399	11.341731
ENSG00000188976.10	NOC2L	chr1	-	944204	959290	74.130646	30.136671	68.014908
ENSG00000187608.8	ISG15	chr1	+	1001138	1014541	51.813194	39.965038	90.196365
ENSG00000237330.2	RNF223	chr1	-	1070966	1074307	3.958991	1.609467	3.632376
ENSG00000162571.13	TTLL10	chr1	+	1173903	1197935	0.000000	0.000000	0.000000
ENSG00000131591.17	C1orf159	chr1	-	1081818	1116361	0.563222	3.151555	7.112688
ENSG00000186891.13	TNFRSF18	chr1	-	1203508	1206691	4.961120	2.377000	5.364608
ENSG00000186827.10	TNFRSF4	chr1	-	1211326	1214132	19.911987	8.094912	18.269258
ENSG00000188157.14	AGRN	chr1	+	1020123	1056118	337.421875	160.456421	362.131195
ENSG00000078808.16	SDF4	chr1	-	1216908	1232031	203.468536	91.904991	207.418732
ENSG00000184163.3	C1QTNF12	chr1	-	1242453	1246722	0.348456	0.141659	0.319709
ENSG00000176022.4	B3GALT6	chr1	+	1232265	1235041	23.554914	9.575888	21.611647
ENSG00000162572.20	SCNN1D	chr1	+	1280436	1292029	0.137036	0.066098	0.149176
ENSG00000160087.20	UBE2J2	chr1	-	1253914	1273885	29.473391	30.926495	69.797447
ENSG00000131584.18	ACAP3	chr1	-	1292376	1308018	9.625513	3.913104	8.831413
ENSG00000169972.11	PUSL1	chr1	+	1308567	1311677	17.398985	7.945871	17.932892
ENSG00000127054.20	INTS11	chr1	-	1311585	1324691	42.194225	28.857574	65.128136
ENSG00000224051.6	CPTP	chr1	+	1324767	1328897	36.714397	25.983822	58.642414
ENSG00000169962.4	TAS1R3	chr1	+	1331314	1335306	2.144364	0.871758	1.967455
ENSG00000107404.19	DVL1	chr1	-	1335276	1349350	43.379463	20.034740	45.216042
ENSG00000162576.16	MXRA8	chr1	-	1352689	1361777	116.584541	64.639633	145.884003
ENSG00000175756.13	AURKAIP1	chr1	-	1373730	1375495	159.236404	89.620590	202.263077
ENSG00000221978.11	CCNL2	chr1	-	1386495	1399317	8.053983	8.059538	18.189425
ENSG00000235098.8	ANKRD65	chr1	-	1418420	1421769	4.130729	2.027410	4.575624
ENSG00000242485.5	MRPL20	chr1	-	1401908	1407313	86.828415	86.447708	195.102264
ENSG00000215915.9	ATAD3C	chr1	+	1449689	1470158	0.149754	0.060880	0.137399
